gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,8,42,42,0.12202530528704181,-0.01076100863840464,1,0.0728541190426001,-0.01284041934192488,2
low_eff_low_atr_ctx4h_up,8,16,16,0.08454737422960257,0.0,0,0.06630373010076024,-0.0018489359720416628,1
low_eff_ctx4h_side_up_q20_q60,8,38,38,0.10405385611789619,-0.013099540431254282,2,0.05940841896237117,-0.018948192773062443,3
low_eff_low_atr_ctx12h_up,8,15,15,0.07874378186398842,-0.006924771256890323,1,0.05916735363850206,-0.008167884622434719,2
low_eff_ctx12h_side_up_q20_q60,8,40,40,0.10102447069230741,-0.014316838065893518,3,0.053180507366221166,-0.018857505147258796,4
low_eff_low_atr_q30_q50,8,68,68,0.12909175372632334,-0.03276896231311435,2,0.048193114108174784,-0.04311925145225764,2
low_eff_q20,8,90,90,0.16655318231029426,-0.0120394143944939,4,0.03988719571373661,-0.02280341932391166,4
low_eff_side_slope_q20_q60,8,40,40,0.08004371111772206,-0.013099540431254282,4,0.03341549679408338,-0.015473171365847315,4
low_eff_high_speed_q20_q60,8,17,17,0.003993931248898776,-0.010622811331241913,5,-0.014358868598341314,-0.013456743786885973,5
low_eff_q30,8,125,125,0.15616548339556297,-0.05391078077548617,3,-0.015498891981104976,-0.0730935684600117,3
low_atr_side_gap_q40_q60,8,57,57,0.022090012708962298,-0.03362403735170884,3,-0.047583670762150025,-0.05169166678750959,4
low_rf_q40,8,155,155,0.058719590499851634,-0.02635609865339794,3,-0.09568396208667669,-0.04563337386810515,6
wick_touch_ext_le_0,8,102,102,0.04250460050391887,-0.026317650997355443,3,-0.09947300749440402,-0.03799946866151321,5
side_sma_slope_up_q60,8,154,154,0.09923335947728253,-0.028404031370664034,4,-0.10103584557251191,-0.055997191335516054,5
high_speed_q80,8,82,82,-0.013622953127114448,-0.026813335576898502,4,-0.1083169805836103,-0.043187568898785035,6
ctx4h_side_up_q60,8,148,148,0.061672864522657744,-0.030636208035856954,4,-0.13637406172868666,-0.0504210503569042,6
low_atr_q40,8,162,162,0.055728720363724095,-0.039954533499159534,1,-0.14010187633370144,-0.06460183980988825,6
ctx12h_side_up_q60,8,156,156,0.04701402716073329,-0.06128193108369765,4,-0.15707527860463769,-0.08278185763481992,6
high_speed_q60,8,167,167,0.015332874040352322,-0.030870181225135393,5,-0.19140456846589726,-0.06186279223708925,7
level_far_q60,8,156,156,-0.030334620559767662,-0.04142968323942642,4,-0.22787544036674845,-0.06520117879950034,6
side_sma_gap_up_q60,8,158,158,-0.021123620098618096,-0.0539935263278114,6,-0.2288818990764615,-0.08982998020718945,6
level_near_q40,8,159,159,-0.018677823307018795,-0.02696620460061783,5,-0.23027663429052175,-0.058322765027979506,6
late_touch_q40,8,225,225,0.026799903038565755,-0.058460457515254305,4,-0.2593233326706112,-0.09319928492678578,6
high_rf_q60,8,171,171,-0.06964952379635733,-0.07169856060147763,6,-0.329113754334815,-0.10954571000950396,6
baseline_model_advance,8,395,395,-0.013630576977154418,-0.08055893750273539,4,-0.5309452155356299,-0.1372398326607392,7
